Name,RA (J2000),DE (J2000),Distance,sigDist,MHI,W50,Vhelio
LMC,80.892,-69.756,51.0,2.0,460000000.0,80.064,262.0
SMC,13.187,-72.829,64.0,4.0,460000000.0,90.0,146.0
Leo T,143.721,17.051,409.0,27.0,280000.0,19.545,38.0
Phoenix,27.775,-44.445,415.0,19.0,120000.0,16.484,-13.0
NGC 6822,296.238,-14.789,459.0,17.0,130000000.0,80.0,-55.0
NGC 185,9.742,48.338,617.0,26.0,110000.0,36.029,-204.0
IC 1613,16.2,2.118,755.0,42.0,65000000.0,27.0,-232.0
LGS3,15.979,21.885,769.0,25.0,380000.0,21.429,-287.0
IC 10,5.071,59.304,794.0,44.0,50000000.0,62.0,-348.0
Leo A,149.858,30.746,798.0,44.0,11000000.0,19.0,24.0
NGC 205,10.092,41.685,824.0,27.0,400000.0,37.913,-246.0
Pegasus dIrr,352.15,14.743,920.0,30.0,5900000.0,23.0,-180.0
WLM,0.492,-15.461,933.0,34.0,61000000.0,53.0,-130.0
Sagittarius dIrr,292.496,-17.681,1067.0,88.0,8800000.0,23.548,-79.0
Aquarius,311.717,-12.848,1072.0,40.0,4100000.0,23.0,-138.0
Antlia B,147.233,-25.99,1294.0,95.0,280000.0,16.955,376.0
NGC 3109,150.779,-26.16,1300.0,48.0,450000000.0,143.644,403.0
Antlia,151.017,-27.331,1349.0,62.0,730000.0,29.906,362.0
UGC 4879,139.008,52.84,1361.0,25.0,950000.0,14.0,-29.0
Sextans B,150.0,5.332,1426.0,20.0,51000000.0,40.032,304.0
Sextans A,152.754,-4.693,1432.0,53.0,77000000.0,44.742,324.0
Leo P,155.438,18.088,1622.0,149.0,940000.0,19.78,264.0
HIZSS3B,105.121,-4.208,1675.0,108.0,2600000.0,28.022,323.0
HIZSS3(A),105.121,-4.208,1675.0,108.0,14000000.0,54.161,288.0
ESO410-G005,3.883,-32.18,1923.0,35.0,730000.0,33.438,0.0
IC 5152,330.675,-51.296,1950.0,45.0,87000000.0,84.774,122.0
